date,open,high,low,close,Volume BTC,Volume USD,market_cap,NVT,NVRV,NVHR,NVML,NVOL,implied price,fcas,fng_value,fng_class,news_value,news_class,google_trend_bitcoin
2020-11-22,18726.43,18770.55,17600.0,18435.2,6417.21771734,118302692.06270637,345749417078.0,132.68559528,2.55377715,152205060.20050347,0.784294071625085,38.84380517681562,9166.549192880235,883.0,94.0,Extreme Greed,0.26335,Positive Sentiment,13.3
2020-11-21,18685.08,18977.0,18333.45,18725.0,5937.50536305,111179787.92311125,346025818219.0,102.44760774236,2.589987418208,147831351.5740522,0.580105781033433,33.047534343290984,4340.207122796235,883.0,91.0,Extreme Greed,0.129475,Positive Sentiment,12.58
2020-11-20,17822.37,18824.88,17755.81,18687.65,10020.01351326,187250505.53107327,333949153922.0,55.537871540113,2.596127396527,146956610.2686377,0.6489114695549095,34.52509421613557,7463.786166891567,883.0,86.0,Extreme Greed,0.108875,Positive Sentiment,13.94
2020-11-19,17792.96,18189.97,17346.62,17825.47,10506.69646215,187286802.58516097,330320588156.0,83.59396211919,2.504430386254,119839616.50472265,0.5063258500272919,30.06641366842261,4107.0825898838575,881.0,94.0,Extreme Greed,0.18225,Positive Sentiment,12.58
2020-11-18,17681.77,18483.0,17041.47,17785.95,15717.92072069,279558152.0421563,326063049706.0,52.4644453,2.51023261,147831351.5740522,0.5489632419701399,31.21200127641621,5455.9085111288205,879.0,91.0,Extreme Greed,0.366575,Positive Sentiment,15.81
2020-11-17,16727.85,17868.0,16570.0,17680.63,9824.73852957,173707566.78807124,309788919819.0,68.20413264,2.51738625,137334451.1504863,0.6674573585839639,33.854244408024066,7735.989263979575,878.0,86.0,Extreme Greed,0.060200000000000004,Positive Sentiment,13.77
2020-11-16,15975.49,16894.93,15875.5,16724.62,7511.71484029,125630576.25221092,293844695994.0,78.40972492,2.39979607,135735925.23468184,0.9526759537641092,39.999731936125215,27359.519207945865,878.0,90.0,Extreme Greed,0.01882499999999998,Neutral Sentiment,9.18
2020-11-15,16092.8,16170.0,15786.46,15975.49,3225.70533016,51532223.24491777,295097578888.0,121.71774158,2.29883051,125178757.6338828,0.7843616231222404,36.100851112820024,14863.133746705142,878.0,86.0,Extreme Greed,0.07588,Positive Sentiment,6.460000000000001
2020-11-14,16339.06,16341.89,15715.1,16086.34,5046.32670498,81176927.12738797,301016915750.0,116.57425295588,2.317866766319,118502557.09321824,0.6401635395139162,32.66621269159025,7024.825518374739,878.0,90.0,Extreme Greed,-0.04267500000000002,Neutral Sentiment,5.06
2020-11-13,16300.0,16494.52,15970.33,16335.58,7843.22421583,128123616.63562822,302897517500.0,72.35248764,2.35455292,115998982.3411126,0.5823825658461219,31.137500377518634,5170.529876628439,878.0,89.0,Extreme Greed,0.118475,Positive Sentiment,6.2700000000000005
2020-11-12,15702.0,16369.99,15481.0,16300.0,16261.47118864,265061980.37483197,291245309634.0,57.82944262,2.35643005,133524008.14280823,0.5717076442079688,30.27485049278583,6126.246840304912,878.0,87.0,Extreme Greed,-0.05519999999999999,Negative Sentiment,5.39
2020-11-11,15314.94,15991.01,15290.85,15707.89,10013.26427187,157287253.72346407,285335926184.0,65.30019314,2.28563276,122675182.48120517,0.6082922308217844,31.004984208681673,6593.391535760235,877.0,86.0,Extreme Greed,-0.26335,Negative Sentiment,4.73
2020-11-10,15349.32,15482.76,15092.47,15313.65,8966.48171393,137309562.69852412,284089624725.0,60.70604711,2.23228692,122675182.48120517,0.5578409508605171,29.53613146878364,5931.252584833315,876.0,90.0,Extreme Greed,0.19870000000000002,Positive Sentiment,4.4
